User_ID,Signup_Date,Region,Acquisition_Channel,Watch_Time_Mins,Quizzes_Completed,Converted_To_Paid,Subscription_Tier,Total_Revenue_INR
USR026281,2024-07-10 00:00:00,East,Meta Ads,16.95,1,0,None (Expired Trial),0.0
USR084741,2025-09-09 00:00:00,North,Google Ads,10.93,0,0,None (Expired Trial),0.0
USR010217,2024-03-15 00:00:00,West,Google Ads,73.96,9,1,Premium Annual,7999.0
USR017716,2024-05-09 00:00:00,North,Meta Ads,43.94,6,0,None (Expired Trial),0.0
USR039433,2024-10-13 00:00:00,South,Google Ads,39.8,5,1,Premium Monthly,999.0
USR033309,2024-08-30 00:00:00,north,Meta Ads,186.78,13,1,Premium Monthly,999.0
USR006665,2024-02-18 00:00:00,North,Google Ads,19.69,1,0,None (Expired Trial),0.0
USR079345,2025-08-01 00:00:00,North,YouTube Organic,27.59,3,0,None (Expired Trial),0.0
USR067246,2025-05-06 00:00:00,North,Google Ads,125.17,11,1,Basic Monthly,499.0
USR007292,2024-02-23 00:00:00,South,Google Ads,29.71,1,0,None (Expired Trial),0.0
USR029178,2024-08-01 00:00:00,South,Meta Ads,73.65,4,0,None (Expired Trial),0.0
USR065798,2025-04-25 00:00:00,South,Google Ads,82.25,8,1,Basic Monthly,499.0
USR085034,2025-09-11 00:00:00,South,Meta Ads,83.1,10,1,Premium Monthly,999.0
USR033200,2024-08-29 00:00:00,North,LinkedIn Business,95.84,6,0,None (Expired Trial),0.0
USR044475,2024-11-20 00:00:00,West,Google Ads,78.89,8,1,Basic Monthly,499.0
USR093653,2025-11-13 00:00:00,West,Meta Ads,40.03,2,0,None (Expired Trial),0.0
USR091781,2025-10-30 00:00:00,East,YouTube Organic,13.08,1,0,None (Expired Trial),0.0
USR069895,2025-05-25 00:00:00,West,Google Ads,29.52,2,0,None (Expired Trial),0.0
USR038443,2024-10-06 00:00:00,East,Google Ads,43.92,2,1,Basic Monthly,499.0
USR005938,2024-02-13 00:00:00,East,Meta Ads,7.49,0,0,None (Expired Trial),0.0
USR017156,2024-05-04 00:00:00,North ,YouTube Organic,85.57,11,1,Basic Monthly,499.0
USR034828,2024-09-10 00:00:00,East,Meta Ads,40.22,4,0,None (Expired Trial),0.0
USR020921,2024-06-01 00:00:00,North,Google Ads,30.19,2,0,None (Expired Trial),0.0
USR060945,2025-03-19 00:00:00,West,Google Ads,14.11,0,0,None (Expired Trial),0.0
USR027459,2024-07-19 00:00:00,North,YouTube Organic,68.32,9,1,Basic Monthly,499.0
USR066279,2025-04-29 00:00:00,West,Google Ads,82.9,4,1,Premium Monthly,999.0
USR066955,2025-05-03 00:00:00,South,Google Ads,143.75,16,1,Premium Monthly,999.0
USR051302,2025-01-08 00:00:00,North,Meta Ads,60.31,8,0,None (Expired Trial),0.0
USR032083,2024-08-20 00:00:00,West,YouTube Organic,14.73,1,0,None (Expired Trial),0.0
USR043818,2024-11-15 00:00:00,north,Meta Ads,,16,0,None (Expired Trial),0.0
USR080411,2025-08-09 00:00:00,East,Meta Ads,12.07,0,0,None (Expired Trial),0.0
USR022272,2024-06-11 00:00:00,North,Meta Ads,30.0,1,0,None (Expired Trial),0.0
USR066155,2025-04-28 00:00:00,East,Meta Ads,28.78,1,0,None (Expired Trial),0.0
USR092230,2025-11-03 00:00:00,South,Google Ads,27.09,2,0,None (Expired Trial),0.0
USR028222,2024-07-25 00:00:00,North,Google Ads,22.18,2,0,None (Expired Trial),0.0
USR026308,2024-07-10 00:00:00,North,YouTube Organic,86.56,7,1,Basic Monthly,499.0
USR098194,2025-12-17 00:00:00,East,YouTube Organic,15.99,2,0,None (Expired Trial),0.0
USR096928,2025-12-07 00:00:00,North,YouTube Organic,60.01,3,1,Basic Monthly,499.0
USR037778,2024-10-01 00:00:00,East,YouTube Organic,204.21,12,0,None (Expired Trial),0.0
USR055980,2025-02-11 00:00:00,East,Meta Ads,10.81,1,0,None (Expired Trial),0.0
USR017600,2024-05-08 00:00:00,South,Meta Ads,35.4,4,0,None (Expired Trial),0.0
USR004700,2024-02-04 00:00:00,North,Google Ads,220.39,19,1,Premium Annual,7999.0
USR039376,2024-10-13 00:00:00,South,Meta Ads,23.52,3,0,None (Expired Trial),0.0
USR071330,2025-06-04 00:00:00,East,Google Ads,37.18,4,0,None (Expired Trial),0.0
USR076263,2025-07-10 00:00:00,North,Meta Ads,27.68,1,0,None (Expired Trial),0.0
USR008410,2024-03-02 00:00:00,East,LinkedIn Business,-14.99,1,0,None (Expired Trial),0.0
USR075715,2025-07-06 00:00:00,West ,Google Ads,70.16,9,1,Premium Monthly,999.0
USR042167,2024-11-02 00:00:00,West,YouTube Organic,21.05,1,1,Premium Monthly,999.0
USR099093,2025-12-24 00:00:00,East,Meta Ads,82.67,8,0,None (Expired Trial),0.0
USR077253,2025-07-17 00:00:00,North,Meta Ads,75.15,9,1,Basic Monthly,499.0
USR010603,2024-03-18 00:00:00,South,YouTube Organic,44.77,2,0,None (Expired Trial),0.0
USR084538,2025-09-07 00:00:00,North,LinkedIn Business,53.21,5,1,Basic Monthly,499.0
USR072689,2025-06-14 00:00:00,North,Meta Ads,106.82,5,0,None (Expired Trial),0.0
USR063232,2025-04-06 00:00:00,South,Google Ads,60.96,5,0,None (Expired Trial),0.0
USR083820,2025-09-02 00:00:00,North,Meta Ads,234.55,24,1,Premium Annual,7999.0
USR034452,2024-09-07 00:00:00,North,Meta Ads,28.93,1,0,None (Expired Trial),0.0
USR064253,2025-04-13 00:00:00,North,Google Ads,84.99,7,0,None (Expired Trial),0.0
USR028581,2024-07-27 00:00:00,North,Meta Ads,99.2,13,1,Premium Annual,7999.0
USR007078,2024-02-21 00:00:00,North,YouTube Organic,227.64,33,1,Premium Monthly,999.0
USR065236,2025-04-21 00:00:00,south,YouTube Organic,17.71,1,0,None (Expired Trial),0.0
USR082182,2025-08-22 00:00:00,West,Google Ads,46.27,4,0,None (Expired Trial),0.0
USR067755,2025-05-10 00:00:00,North,LinkedIn Business,40.16,4,0,None (Expired Trial),0.0
USR016679,2024-05-01 00:00:00,North,,165.94,9,1,Premium Annual,7999.0
USR011857,2024-03-27 00:00:00,North,Google Ads,24.02,2,0,None (Expired Trial),0.0
USR038194,2024-10-04 00:00:00,North,LinkedIn Business,52.28,6,1,Basic Monthly,499.0
USR027457,2024-07-19 00:00:00,North,Meta Ads,57.42,7,1,Basic Monthly,499.0
USR058251,2025-02-27 00:00:00,East,Meta Ads,27.36,1,0,None (Expired Trial),0.0
USR087558,2025-09-30 00:00:00,South,Google Ads,201.8,28,1,Basic Monthly,499.0
USR018343,2024-05-13 00:00:00,South,YouTube Organic,24.2,2,0,None (Expired Trial),0.0
USR047034,2024-12-08 00:00:00,South,Google Ads,36.1,1,0,None (Expired Trial),0.0
USR033151,2024-08-28 00:00:00,South,Google Ads,7.29,0,0,None (Expired Trial),0.0
USR071015,2025-06-02 00:00:00,North,Google Ads,53.01,6,1,Basic Monthly,499.0
USR095059,2025-11-24 00:00:00,South,Google Ads,30.46,2,0,None (Expired Trial),0.0
USR014897,2024-04-18 00:00:00,West,YouTube Organic,74.67,5,1,Premium Monthly,999.0
USR092169,2025-11-02 00:00:00,East,Meta Ads,13.25,1,0,None (Expired Trial),0.0
USR001550,2024-01-12 00:00:00,North,Meta Ads,71.14,9,1,Premium Monthly,999.0
USR096484,2025-12-04 00:00:00,South,Meta Ads,126.96,18,0,None (Expired Trial),0.0
USR014020,2024-04-12 00:00:00,North,Meta Ads,45.44,2,0,None (Expired Trial),0.0
USR016766,2024-05-01 00:00:00,South,Google Ads,21.24,1,0,None (Expired Trial),0.0
USR089323,2025-10-13 00:00:00,East,Meta Ads,32.63,3,0,None (Expired Trial),0.0
USR032913,2024-08-27 00:00:00,North,Meta Ads,36.67,5,0,None (Expired Trial),0.0
USR051615,2025-01-10 00:00:00,North,Meta Ads,53.19,6,0,None (Expired Trial),0.0
USR037883,2024-10-02 00:00:00,North,Google Ads,-20.08,1,0,None (Expired Trial),0.0
USR093578,2025-11-13 00:00:00,North,Google Ads,77.82,8,1,Basic Monthly,499.0
USR065084,2025-04-20 00:00:00,East,Meta Ads,20.41,1,0,None (Expired Trial),0.0
USR080779,2025-08-12 00:00:00,North,Meta Ads,87.19,9,1,Basic Monthly,499.0
USR068411,2025-05-14 00:00:00,North,Meta Ads,36.33,1,0,None (Expired Trial),0.0
USR038252,2024-10-04 00:00:00,North,Meta Ads,73.14,6,1,Basic Monthly,499.0
USR046552,2024-12-04 00:00:00,West,Google Ads,106.78,6,1,Premium Monthly,999.0
USR092688,2025-11-06 00:00:00,East,Meta Ads,19.75,2,0,None (Expired Trial),0.0
USR057012,2025-02-18 00:00:00,South,Meta Ads,93.95,9,1,Premium Annual,7999.0
USR040805,2024-10-23 00:00:00,North,Google Ads,34.39,4,0,None (Expired Trial),0.0
USR049637,2024-12-27 00:00:00,North,Google Ads,100.07,10,1,Premium Monthly,999.0
USR047608,2024-12-12 00:00:00,North,Meta Ads,39.78,2,0,None (Expired Trial),0.0
USR024053,2024-06-24 00:00:00,South,Meta Ads,32.12,3,0,None (Expired Trial),0.0
USR093993,2025-11-16 00:00:00,North,Google Ads,26.97,1,0,None (Expired Trial),0.0
USR097113,2025-12-09 00:00:00,South,Meta Ads,8.83,1,0,None (Expired Trial),0.0
USR039646,2024-10-15 00:00:00,South,YouTube Organic,34.25,4,0,None (Expired Trial),0.0
USR058932,2025-03-04 00:00:00,West,Google Ads,60.78,5,1,Premium Monthly,999.0
USR030063,2024-08-06 00:00:00,West ,Google Ads,55.01,4,1,Premium Annual,7999.0
USR056232,2025-02-13 00:00:00,East,LinkedIn Business,108.25,7,1,Premium Monthly,999.0
USR063391,2025-04-07 00:00:00,East,YouTube Organic,95.02,8,0,None (Expired Trial),0.0
USR061329,2025-03-22 00:00:00,East,Meta Ads,42.48,3,0,None (Expired Trial),0.0
USR084241,2025-09-05 00:00:00,West,Google Ads,29.1,2,0,None (Expired Trial),0.0
USR020760,2024-05-31 00:00:00,West,Meta Ads,41.59,2,1,Basic Monthly,499.0
USR029245,2024-08-01 00:00:00,East,Meta Ads,37.97,2,0,None (Expired Trial),0.0
USR033932,2024-09-03 00:00:00,South,Google Ads,63.74,4,0,None (Expired Trial),0.0
USR007778,2024-02-26 00:00:00,West,YouTube Organic,52.17,3,1,Basic Monthly,499.0
USR086932,2025-09-25 00:00:00,North,Meta Ads,20.2,2,0,None (Expired Trial),0.0
USR033178,2024-08-29 00:00:00,North,,58.15,3,1,Premium Monthly,999.0
USR028264,2024-07-25 00:00:00,East,Google Ads,36.09,1,0,None (Expired Trial),0.0
USR048654,2024-12-20 00:00:00,east,Meta Ads,44.27,6,0,None (Expired Trial),0.0
USR075736,2025-07-06 00:00:00,West,Google Ads,99.51,9,1,Basic Monthly,499.0
USR090562,2025-10-22 00:00:00,South,LinkedIn Business,51.45,7,0,None (Expired Trial),0.0
USR017269,2024-05-05 00:00:00,N_Reg,Google Ads,40.97,4,0,None (Expired Trial),0.0
USR066668,2025-05-01 00:00:00,North,Meta Ads,27.01,1,0,None (Expired Trial),0.0
USR067053,2025-05-04 00:00:00,North,Google Ads,42.04,4,1,Premium Annual,7999.0
USR036417,2024-09-21 00:00:00,west,Google Ads,76.27,8,0,None (Expired Trial),0.0
USR049562,2024-12-27 00:00:00,North,Meta Ads,20.38,2,0,None (Expired Trial),0.0
USR026588,2024-07-12 00:00:00,south,YouTube Organic,8.64,0,0,None (Expired Trial),0.0
USR017083,2024-05-04 00:00:00,West,Google Ads,78.42,5,0,None (Expired Trial),0.0
USR083529,2025-08-31 00:00:00,North,Google Ads,41.49,3,0,None (Expired Trial),0.0
USR034146,2024-09-04 00:00:00,North,,75.48,8,1,Basic Monthly,499.0
USR069355,2025-05-21 00:00:00,North,LinkedIn Business,43.82,3,1,Premium Monthly,999.0
USR063717,2025-04-09 00:00:00,West,Google Ads,26.25,1,0,None (Expired Trial),0.0
USR040117,2024-10-18 00:00:00,North,YouTube Organic,53.54,4,1,Premium Monthly,999.0
USR033359,2024-08-30 00:00:00,North,Google Ads,85.82,9,0,None (Expired Trial),0.0
USR059087,2025-03-06 00:00:00,South,Meta Ads,113.02,5,0,None (Expired Trial),0.0
USR029309,2024-08-01 00:00:00,South,YouTube Organic,38.71,1,0,None (Expired Trial),0.0
USR002340,2024-01-18 00:00:00,West,LinkedIn Business,80.24,5,0,None (Expired Trial),0.0
USR018814,2024-05-17 00:00:00,North,Google Ads,22.12,2,0,None (Expired Trial),0.0
USR046485,2024-12-04 00:00:00,South,Google Ads,107.86,14,1,Basic Monthly,499.0
USR035440,2024-09-14 00:00:00,East,Meta Ads,140.85,14,0,None (Expired Trial),0.0
USR046726,2024-12-06 00:00:00,East,YouTube Organic,44.37,6,0,None (Expired Trial),0.0
USR064363,2025-04-14 00:00:00,South,YouTube Organic,32.84,4,0,None (Expired Trial),0.0
USR017347,2024-05-06 00:00:00,North,Google Ads,22.89,2,0,None (Expired Trial),0.0
USR062315,2025-03-30 00:00:00,North,Google Ads,21.23,2,0,None (Expired Trial),0.0
USR078876,2025-07-28 00:00:00,East,Meta Ads,43.12,2,0,None (Expired Trial),0.0
USR075289,2025-07-03 00:00:00,north,Meta Ads,47.73,3,0,None (Expired Trial),0.0
USR011542,2024-03-25 00:00:00,North,Google Ads,58.32,4,0,None (Expired Trial),0.0
USR057701,2025-02-23 00:00:00,West,Google Ads,35.46,5,0,None (Expired Trial),0.0
USR005344,2024-02-08 00:00:00,S_Reg,Google Ads,18.9,2,0,None (Expired Trial),0.0
USR063553,2025-04-08 00:00:00,North,Google Ads,11.61,0,0,None (Expired Trial),0.0
USR080233,2025-08-07 00:00:00,South,Google Ads,58.62,7,1,Basic Monthly,499.0
USR016911,2024-05-02 00:00:00,North,Google Ads,11.54,1,0,None (Expired Trial),0.0
USR077884,2025-07-21 00:00:00,North,Meta Ads,13.28,1,0,None (Expired Trial),0.0
USR000950,2024-01-08 00:00:00,North,Meta Ads,29.35,3,0,None (Expired Trial),0.0
USR013414,2024-04-07 00:00:00,South,Meta Ads,22.31,3,0,None (Expired Trial),0.0
USR085857,2025-09-17 00:00:00,East,YouTube Organic,81.3,10,1,Premium Monthly,999.0
USR043693,2024-11-14 00:00:00,East,Google Ads,20.91,2,0,None (Expired Trial),0.0
USR054483,2025-01-31 00:00:00,West,Google Ads,,2,0,None (Expired Trial),0.0
USR046962,2024-12-07 00:00:00,N_Reg,Google Ads,135.14,11,1,Basic Monthly,499.0
USR044146,2024-11-17 00:00:00,South,Google Ads,,8,0,None (Expired Trial),0.0
USR030860,2024-08-12 00:00:00,East,Google Ads,49.32,3,0,None (Expired Trial),0.0
USR056872,2025-02-17 00:00:00,North,LinkedIn Business,34.76,4,1,Basic Monthly,499.0
USR023336,2024-06-19 00:00:00,west,Meta Ads,61.12,5,1,Basic Monthly,499.0
USR020073,2024-05-26 00:00:00,North,LinkedIn Business,14.94,2,0,None (Expired Trial),0.0
USR011406,2024-03-24 00:00:00,South,Meta Ads,22.51,1,0,None (Expired Trial),0.0
USR086879,2025-09-25 00:00:00,South,Google Ads,34.96,4,0,None (Expired Trial),0.0
USR062153,2025-03-28 00:00:00,N_Reg,Meta Ads,45.05,3,0,None (Expired Trial),0.0
USR087268,2025-09-28 00:00:00,South ,Meta Ads,47.19,3,0,None (Expired Trial),0.0
USR012480,2024-03-31 00:00:00,North,YouTube Organic,43.44,2,0,None (Expired Trial),0.0
USR075217,2025-07-02 00:00:00,East,Meta Ads,52.24,2,1,Premium Monthly,999.0
USR036593,2024-09-22 00:00:00,North,YouTube Organic,24.17,3,0,None (Expired Trial),0.0
USR046200,2024-12-02 00:00:00,West,Meta Ads,76.56,7,0,None (Expired Trial),0.0
USR054157,2025-01-29 00:00:00,North ,Meta Ads,56.45,3,1,Premium Monthly,999.0
USR030148,2024-08-07 00:00:00,South,Google Ads,40.82,4,1,Basic Monthly,499.0
USR076491,2025-07-11 00:00:00,S_Reg,Google Ads,32.12,2,0,None (Expired Trial),0.0
USR092767,2025-11-07 00:00:00,North,LinkedIn Business,15.1,2,0,None (Expired Trial),0.0
USR073574,2025-06-20 00:00:00,West,Google Ads,58.25,2,0,None (Expired Trial),0.0
USR024902,2024-06-30 00:00:00,North,LinkedIn Business,23.65,1,0,None (Expired Trial),0.0
USR040796,2024-10-23 00:00:00,S_Reg,Meta Ads,,4,0,None (Expired Trial),0.0
USR049658,2024-12-27 00:00:00,South,Google Ads,273.52,35,1,Basic Monthly,499.0
USR012991,2024-04-04 00:00:00,North,Google Ads,44.77,5,1,Basic Monthly,499.0
USR067103,2025-05-05 00:00:00,West,Google Ads,88.93,10,1,Basic Monthly,499.0
USR008806,2024-03-05 00:00:00,South,Google Ads,16.43,2,0,None (Expired Trial),0.0
USR077844,2025-07-21 00:00:00,South,LinkedIn Business,17.85,2,0,None (Expired Trial),0.0
USR034979,2024-09-11 00:00:00,South,Google Ads,67.32,5,0,None (Expired Trial),0.0
USR010927,2024-03-20 00:00:00,North,Google Ads,,3,0,None (Expired Trial),0.0
USR091848,2025-10-31 00:00:00,West,LinkedIn Business,89.86,6,1,Premium Monthly,999.0
USR011193,2024-03-22 00:00:00,South,YouTube Organic,23.45,1,0,None (Expired Trial),0.0
USR001138,2024-01-09 00:00:00,East,Google Ads,50.78,7,1,Premium Annual,7999.0
USR085316,2025-09-13 00:00:00,West,Google Ads,32.28,1,0,None (Expired Trial),0.0
USR042016,2024-11-01 00:00:00,North,Google Ads,17.55,2,1,Basic Monthly,499.0
USR090066,2025-10-18 00:00:00,South,Meta Ads,17.28,2,0,None (Expired Trial),0.0
USR041725,2024-10-30 00:00:00,South,Google Ads,70.36,4,1,Basic Monthly,499.0
USR092730,2025-11-06 00:00:00,East,Google Ads,35.16,3,0,None (Expired Trial),0.0
USR034224,2024-09-05 00:00:00,North,Google Ads,62.64,8,0,None (Expired Trial),0.0
USR094557,2025-11-20 00:00:00,W_Reg,Meta Ads,110.05,12,1,Premium Annual,7999.0
USR030924,2024-08-12 00:00:00,West,Google Ads,230.13,25,1,Premium Monthly,999.0
USR011888,2024-03-27 00:00:00,North,Meta Ads,23.61,1,0,None (Expired Trial),0.0
USR063184,2025-04-05 00:00:00,South,Google Ads,25.61,1,0,None (Expired Trial),0.0
USR042922,2024-11-08 00:00:00,North,Meta Ads,36.97,3,0,None (Expired Trial),0.0
USR069481,2025-05-22 00:00:00,North,Google Ads,15.41,2,0,None (Expired Trial),0.0
USR065464,2025-04-22 00:00:00,East,Google Ads,129.76,7,0,None (Expired Trial),0.0
USR007135,2024-02-21 00:00:00,North,Google Ads,59.86,7,0,None (Expired Trial),0.0
USR032878,2024-08-26 00:00:00,South,YouTube Organic,105.58,14,1,Premium Monthly,999.0
USR086749,2025-09-24 00:00:00,South,YouTube Organic,55.78,8,0,None (Expired Trial),0.0
USR085472,2025-09-14 00:00:00,West,Google Ads,73.72,6,0,None (Expired Trial),0.0
USR046425,2024-12-04 00:00:00,East,Meta Ads,37.26,2,0,None (Expired Trial),0.0
USR066649,2025-05-01 00:00:00,North,YouTube Organic,148.87,9,1,Basic Monthly,499.0
USR099926,2025-12-30 00:00:00,North,YouTube Organic,18.99,2,0,None (Expired Trial),0.0
USR009170,2024-03-08 00:00:00,North,Meta Ads,12.91,1,0,None (Expired Trial),0.0
USR045906,2024-11-30 00:00:00,North,Meta Ads,38.28,3,0,None (Expired Trial),0.0
USR097873,2025-12-15 00:00:00,South,Meta Ads,19.37,1,0,None (Expired Trial),0.0
USR000887,2024-01-07 00:00:00,East,Meta Ads,32.53,2,0,None (Expired Trial),0.0
USR089966,2025-10-17 00:00:00,E_Reg,YouTube Organic,10.56,0,0,None (Expired Trial),0.0
USR017776,2024-05-09 00:00:00,North,Google Ads,60.8,3,1,Premium Annual,7999.0
USR099717,2025-12-28 00:00:00,west,Meta Ads,18.47,2,0,None (Expired Trial),0.0
USR006836,2024-02-19 00:00:00,East,Meta Ads,56.9,2,0,None (Expired Trial),0.0
USR031651,2024-08-18 00:00:00,South,Google Ads,93.47,12,1,Basic Monthly,499.0
USR091061,2025-10-25 00:00:00,North,,127.24,13,1,Premium Monthly,999.0
USR033082,2024-08-28 00:00:00,North,YouTube Organic,94.38,11,1,Premium Annual,7999.0
USR039495,2024-10-14 00:00:00,South,Meta Ads,,5,1,Basic Monthly,499.0
USR043834,2024-11-15 00:00:00,South,,133.56,9,1,Basic Monthly,499.0
USR028239,2024-07-25 00:00:00,South,Google Ads,128.05,13,1,Basic Monthly,499.0
USR003738,2024-01-27 00:00:00,West,Google Ads,96.81,6,0,None (Expired Trial),0.0
USR070910,2025-06-01 00:00:00,West,Meta Ads,150.23,21,1,Basic Monthly,499.0
USR088588,2025-10-08 00:00:00,East,Meta Ads,92.99,8,0,None (Expired Trial),0.0
USR076128,2025-07-09 00:00:00,West ,Meta Ads,67.66,7,0,None (Expired Trial),0.0
USR091101,2025-10-25 00:00:00,North,YouTube Organic,148.23,8,0,None (Expired Trial),0.0
USR006932,2024-02-20 00:00:00,South,Meta Ads,38.69,3,0,None (Expired Trial),0.0
USR021886,2024-06-08 00:00:00,North,Google Ads,62.37,4,1,Premium Monthly,999.0
USR097964,2025-12-15 00:00:00,West,Google Ads,18.44,1,0,None (Expired Trial),0.0
USR081261,2025-08-15 00:00:00,North,Google Ads,83.05,7,1,Basic Monthly,499.0
USR061003,2025-03-20 00:00:00,East,Meta Ads,38.06,5,0,None (Expired Trial),0.0
USR024324,2024-06-26 00:00:00,North,Meta Ads,23.46,1,0,None (Expired Trial),0.0
USR019784,2024-05-24 00:00:00,North,,25.57,3,0,None (Expired Trial),0.0
USR007733,2024-02-26 00:00:00,North,,33.37,2,0,None (Expired Trial),0.0
USR016727,2024-05-01 00:00:00,West,Google Ads,33.11,4,0,None (Expired Trial),0.0
USR013736,2024-04-10 00:00:00,North,Google Ads,19.72,2,0,None (Expired Trial),0.0
USR055046,2025-02-04 00:00:00,North,Google Ads,99.83,8,1,Premium Monthly,999.0
USR038394,2024-10-05 00:00:00,West,Google Ads,60.22,8,0,None (Expired Trial),0.0
USR072261,2025-06-11 00:00:00,South,Google Ads,23.1,2,1,Premium Monthly,999.0
USR005407,2024-02-09 00:00:00,West,Meta Ads,25.69,2,0,None (Expired Trial),0.0
USR019742,2024-05-24 00:00:00,North,Meta Ads,22.49,1,0,None (Expired Trial),0.0
USR040825,2024-10-23 00:00:00,South,Meta Ads,196.2,24,1,Premium Monthly,999.0
USR023432,2024-06-19 00:00:00,East,Google Ads,127.67,13,1,Basic Monthly,499.0
USR072622,2025-06-13 00:00:00,North,Meta Ads,22.13,2,0,None (Expired Trial),0.0
USR031777,2024-08-18 00:00:00,South,YouTube Organic,9.28,0,0,None (Expired Trial),0.0
USR092034,2025-11-01 00:00:00,North,YouTube Organic,27.66,2,0,None (Expired Trial),0.0
USR079798,2025-08-04 00:00:00,north,LinkedIn Business,10.23,0,1,Basic Monthly,499.0
USR067683,2025-05-09 00:00:00,South,YouTube Organic,20.79,1,0,None (Expired Trial),0.0
USR078099,2025-07-23 00:00:00,South,Google Ads,31.05,2,0,None (Expired Trial),0.0
USR016758,2024-05-01 00:00:00,West,Meta Ads,17.73,1,0,None (Expired Trial),0.0
USR025332,2024-07-03 00:00:00,South,YouTube Organic,33.7,2,0,None (Expired Trial),0.0
USR079899,2025-08-05 00:00:00,North,Google Ads,43.9,4,0,None (Expired Trial),0.0
USR066429,2025-04-30 00:00:00,West,Meta Ads,70.9,9,1,Basic Monthly,499.0
USR017742,2024-05-09 00:00:00,North,,52.69,7,0,None (Expired Trial),0.0
USR030001,2024-08-06 00:00:00,East,Meta Ads,48.37,2,1,Premium Monthly,999.0
USR047393,2024-12-10 00:00:00,North,LinkedIn Business,16.75,1,0,None (Expired Trial),0.0
USR045200,2024-11-25 00:00:00,East,Google Ads,27.74,3,0,None (Expired Trial),0.0
USR019437,2024-05-21 00:00:00,North,Google Ads,52.95,6,0,None (Expired Trial),0.0
USR051810,2025-01-12 00:00:00,North,Google Ads,27.67,1,0,None (Expired Trial),0.0
USR022610,2024-06-13 00:00:00,West,YouTube Organic,80.36,5,1,Premium Monthly,999.0
USR094310,2025-11-18 00:00:00,East,Google Ads,110.08,6,0,None (Expired Trial),0.0
USR069171,2025-05-20 00:00:00,West,LinkedIn Business,27.58,2,0,None (Expired Trial),0.0
USR000227,2024-01-02 00:00:00,West,Meta Ads,13.83,0,0,None (Expired Trial),0.0
USR038017,2024-10-03 00:00:00,North,Google Ads,21.65,2,0,None (Expired Trial),0.0
USR034920,2024-09-11 00:00:00,north,Google Ads,44.72,2,0,None (Expired Trial),0.0
USR049414,2024-12-26 00:00:00,West,Meta Ads,108.97,13,1,Premium Annual,7999.0
USR012266,2024-03-30 00:00:00,East,YouTube Organic,39.16,1,0,None (Expired Trial),0.0
USR020165,2024-05-26 00:00:00,South,Google Ads,26.44,3,0,None (Expired Trial),0.0
USR060838,2025-03-18 00:00:00,South,Google Ads,75.74,8,0,None (Expired Trial),0.0
USR036553,2024-09-22 00:00:00,North,YouTube Organic,46.48,3,1,Basic Monthly,499.0
USR025881,2024-07-07 00:00:00,East,YouTube Organic,33.58,1,0,None (Expired Trial),0.0
USR089319,2025-10-13 00:00:00,South,Google Ads,77.98,10,1,Basic Monthly,499.0
USR084135,2025-09-04 00:00:00,East,Meta Ads,37.75,3,0,None (Expired Trial),0.0
